Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting
WS2016,System,Token Right Adjusted Events,{0CCE924A-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Audit Policy Change,{0CCE922F-69AE-11D9-BED3-505054503030},Success,
WS2016,System,Authentication Policy Change,{0CCE9230-69AE-11D9-BED3-505054503030},Success,
WS2016,System,Authorization Policy Change,{0CCE9231-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,MPSSVC Rule-Level Policy Change,{0CCE9232-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Filtering Platform Policy Change,{0CCE9233-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Other Policy Change Events,{0CCE9234-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Computer Account Management,{0CCE9236-69AE-11D9-BED3-505054503030},Success,
WS2016,System,Security Group Management,{0CCE9237-69AE-11D9-BED3-505054503030},Success,
WS2016,System,Distribution Group Management,{0CCE9238-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Application Group Management,{0CCE9239-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Other Account Management Events,{0CCE923A-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,User Account Management,{0CCE9235-69AE-11D9-BED3-505054503030},Success,
WS2016,System,Directory Service Access,{0CCE923B-69AE-11D9-BED3-505054503030},Success,
WS2016,System,Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Directory Service Replication,{0CCE923D-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Detailed Directory Service Replication,{0CCE923E-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},Success,
WS2016,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,
WS2016,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},Success,
WS2016,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},Success,
